33723253	89	33	12.49	4.63	
36452865	22	13	4.26	1.53	
25950722	191	27	16.38	3.51	
27260512	10	1	0.96	0.21	
33805243	47	15	7.7	3.64	
36748112	0	0	0.0	None	
35113396	3	1	0.48	0.25	
24648465	28	2	3.16	0.46	
24347637	87	16	6.91	2.17	
29377894	64	6	7.18	1.19	
24489691	33	2	2.56	1.04	
24974296	38	2	3.18	0.88	
28855614	33	4	3.29	0.99	
28289571	37	8	3.69	0.84	
26750110	94	16	8.75	2.12	
28725465	30	2	2.7	0.64	
28842485	20	3	1.79	0.42	
39724131	3	3	None	None	
39032654	2	2	None	None	
40381888	2	2	None	None	
25721607	19	1	None	0.45	
32624739	20	2	None	0.52	
23752268	266	22	21.8	5.71	
38324614	0	0	None	None	
23945934	73	8	6.22	1.61	
24173663	201	25	16.56	5.49	
24277689	47	4	5.37	1.06	
29741573	6	0	0.67	0.2	
26944343	29	7	2.88	0.56	
28079140	69	10	6.16	1.86	
29142707	59	6	4.7	1.77	
28143396	3	0	0.31	0.07	
39519170	7	7	None	None	
25650959	106	19	8.98	2.41	
26673865	15	0	1.28	0.22	
30111366	4	0	0.42	0.1	
40661473	0	0	None	None	
41022793	0	0	None	None	
25910242	35	8	3.0	0.98	
34101805	73	36	10.24	3.09	
24934728	26	5	2.26	0.5	
38700511	4	4	None	None	
34360784	6	5	0.85	0.33	
26985669	29	0	2.79	0.57	
28693620	2	1	0.19	0.08	
28705884	47	6	4.43	0.94	
28135269	45	13	4.02	0.93	
27909051	149	30	13.4	4.47	
33315891	29	21	3.35	1.04	
37144502	10	9	2.99	0.78	
39554013	9	9	2.31	None	
40963025	2	2	None	None	
26246046	32	3	2.71	0.58	
27492233	90	22	10.09	2.01	
38412299	11	11	None	None	
23705851	34	3	2.9	0.78	
27429783	27	1	3.79	0.91	
30245847	7	5	0.74	0.06	
24449617	34	7	3.33	0.72	
34858137	8	6	1.27	0.24	
24838764	18	3	1.51	0.49	
27848897	215	93	16.33	3.94	
26514574	18	0	1.54	0.57	
28292901	67	11	5.99	1.51	
28298210	10	3	0.89	0.18	
39536748	13	13	None	None	
23184996	171	14	13.21	3.4	
23630264	486	74	32.5	11.37	
23203882	1877	101	141.91	48.73	
27048349	173	44	16.68	4.67	
33803875	15	9	2.1	0.87	
25973932	35	1	2.98	0.81	
25890263	91	11	6.68	2.06	
34810219	36	17	6.33	1.33	
29789295	56	12	5.9	1.53	
25194849	71	4	5.94	1.37	
37279504	27	23	10.44	3.13	
34612597	18	12	2.53	0.83	
28221134	39	8	3.48	0.82	
29163358	18	5	4.23	0.61	
27644981	11	0	0.9	0.31	
38866019	11	11	None	None	
36271358	12	10	None	0.88	
36334589	34	26	6.77	1.83	
27297468	35	8	4.09	0.71	
30626384	75	19	6.52	2.56	
24561808	86	15	6.79	1.61	
29545534	25	4	2.48	0.66	
24171104	71	8	7.99	1.31	
31961323	32	11	3.7	0.78	
28598992	41	15	4.09	0.72	
28854629	41	6	4.09	0.87	
29161365	26	1	2.59	0.67	
28918244	112	26	10.01	2.16	
28837810	21	1	1.98	0.35	
24113281	110	14	9.37	2.46	
